race_year,race_circuit,race_country,race_altitude_m,team,race_start_position,qualifying_position,quali_lap_time_s,laps_completed,driver_pit_stops_count,driver_pit_stops_avg_duration_s,race_pit_stops_count,race_pit_stops_avg_duration_s,race_pit_stops_max_duration_s,race_pit_stops_min_duration_s,race_avg_laps_before_pit_stop,top3_finish
2011,Albert Park Grand Prix Circuit,Australia,10,Red Bull,1.0,1.0,85.29599999999999,58,2.0,23.3195,45.0,24.28036507936508,37.856,16.867,23.055555555555557,1
2011,Albert Park Grand Prix Circuit,Australia,10,McLaren,2.0,2.0,85.384,58,2.0,23.213,45.0,24.28036507936508,37.856,16.867,23.055555555555557,1
2011,Albert Park Grand Prix Circuit,Australia,10,Renault,6.0,6.0,85.543,58,2.0,25.109,45.0,24.28036507936508,37.856,16.867,23.055555555555557,1
2011,Albert Park Grand Prix Circuit,Australia,10,Ferrari,5.0,5.0,85.707,58,3.0,24.055000000000003,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Red Bull,3.0,3.0,85.9,58,3.0,24.058666666666667,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,McLaren,4.0,4.0,85.886,58,3.0,20.950333333333333,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Ferrari,8.0,8.0,86.031,58,3.0,24.145666666666667,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Toro Rosso,10.0,10.0,86.232,57,2.0,24.221,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Force India,16.0,16.0,86.245,57,2.0,24.9245,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Force India,14.0,14.0,87.22200000000001,57,2.0,24.5975,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Toro Rosso,12.0,12.0,86.62,57,3.0,25.903,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Renault,18.0,18.0,87.239,57,2.0,24.046,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Lotus,20.0,20.0,89.342,56,2.0,24.8735,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Virgin,22.0,22.0,90.822,54,2.0,25.8525,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Virgin,21.0,21.0,89.858,49,1.0,23.792,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Williams,17.0,17.0,86.27,48,4.0,26.175,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Mercedes,7.0,7.0,85.856,22,1.0,23.716,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Lotus,19.0,19.0,89.254,19,1.0,24.865,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Mercedes,11.0,11.0,85.962,19,2.0,24.5045,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Sauber,9.0,9.0,85.717,58,2.0,24.128,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Albert Park Grand Prix Circuit,Australia,10,Sauber,13.0,13.0,85.812,58,1.0,23.438,45.0,24.28036507936508,37.856,16.867,23.055555555555557,0
2011,Sepang International Circuit,Malaysia,18,Red Bull,1.0,1.0,97.468,56,3.0,22.40833333333333,59.0,24.56510606060606,38.823,21.893,24.556818181818183,1
2011,Sepang International Circuit,Malaysia,18,McLaren,4.0,4.0,97.033,56,3.0,22.45133333333333,59.0,24.56510606060606,38.823,21.893,24.556818181818183,1
2011,Sepang International Circuit,Malaysia,18,Renault,6.0,6.0,97.224,56,3.0,23.241,59.0,24.56510606060606,38.823,21.893,24.556818181818183,1
2011,Sepang International Circuit,Malaysia,18,Red Bull,3.0,3.0,97.924,56,4.0,22.19825,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Ferrari,7.0,7.0,96.744,56,3.0,24.886,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Ferrari,5.0,5.0,96.897,56,4.0,24.51,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Sauber,10.0,10.0,96.994,56,2.0,23.361,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,McLaren,2.0,2.0,96.861,56,4.0,23.25275,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Mercedes,11.0,11.0,96.904,56,3.0,22.354666666666663,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Force India,14.0,14.0,98.045,56,3.0,23.05633333333333,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Force India,17.0,17.0,97.693,55,3.0,25.43,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Mercedes,9.0,9.0,97.316,55,3.0,23.356666666666666,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Toro Rosso,12.0,12.0,97.693,55,3.0,26.854,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Toro Rosso,13.0,13.0,97.677,55,2.0,23.236,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Lotus,19.0,19.0,98.645,55,2.0,26.21,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Virgin,21.0,21.0,100.648,54,2.0,24.523,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Renault,8.0,8.0,97.21,52,3.0,24.852,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,HRT,23.0,23.0,101.549,46,3.0,31.064000000000004,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Virgin,22.0,22.0,101.001,42,2.0,25.334,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Lotus,20.0,20.0,98.791,31,1.0,25.516,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Sauber,16.0,16.0,97.759,23,1.0,23.597,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Sepang International Circuit,Malaysia,18,Williams,15.0,15.0,98.163,22,2.0,28.74,59.0,24.56510606060606,38.823,21.893,24.556818181818183,0
2011,Shanghai International Circuit,China,5,McLaren,3.0,3.0,96.091,56,3.0,20.659333333333333,58.0,22.36423263888889,33.827,13.9,25.104166666666668,1
2011,Shanghai International Circuit,China,5,Red Bull,1.0,1.0,95.674,56,2.0,21.764000000000003,58.0,22.36423263888889,33.827,13.9,25.104166666666668,1
2011,Shanghai International Circuit,China,5,Red Bull,18.0,18.0,96.468,56,3.0,21.888333333333332,58.0,22.36423263888889,33.827,13.9,25.104166666666668,1
2011,Shanghai International Circuit,China,5,McLaren,2.0,2.0,95.924,56,3.0,21.924666666666667,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Mercedes,4.0,4.0,95.272,56,3.0,21.165333333333333,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Ferrari,6.0,6.0,95.478,56,2.0,21.396,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Ferrari,5.0,5.0,95.389,56,2.0,21.887500000000003,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Mercedes,14.0,14.0,95.508,56,3.0,21.29533333333333,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Renault,10.0,10.0,95.37,56,2.0,21.993,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Sauber,13.0,13.0,96.147,56,2.0,21.8955,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Force India,8.0,8.0,95.702,56,2.0,21.6035,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Renault,16.0,16.0,95.91,56,2.0,22.018500000000003,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Williams,15.0,15.0,95.911,56,2.0,21.595,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Toro Rosso,9.0,9.0,96.11,56,3.0,22.886666666666667,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
2011,Shanghai International Circuit,China,5,Force India,11.0,11.0,96.092,55,3.0,23.585,58.0,22.36423263888889,33.827,13.9,25.104166666666668,0
