raceId,year,round,circuitId,circuit_name,country,alt,max_pit_duration,mean_pit_duration,min_pit_duration,num_stops,avg_stop_lap,avg_grid_top3,driverId_first_place,driverId_second_place,driverId_third_place,constructorId_first_place,constructorId_second_place,constructorId_third_place,grid_first_place,grid_second_place,grid_third_place,qualifying_position_first_place,qualifying_position_second_place,qualifying_position_third_place,q1_first_place,q1_second_place,q1_third_place,points_first_place,points_second_place,points_third_place,laps_first_place,laps_second_place,laps_third_place,pit_stop_count_first_place,pit_stop_count_second_place,pit_stop_count_third_place,pit_mean_duration_first_place,pit_mean_duration_second_place,pit_mean_duration_third_place,pit_max_duration_first_place,pit_max_duration_second_place,pit_max_duration_third_place,pit_min_duration_first_place,pit_min_duration_second_place,pit_min_duration_third_place,pit_avg_lap_first_place,pit_avg_lap_second_place,pit_avg_lap_third_place
18,2008,1,1,Albert Park Grand Prix Circuit,Australia,10,24.797,23.556833333333334,22.371,6,31.666666666666668,4.333333333333333,1.0,2.0,3.0,1.0,2.0,3.0,1,5,7,1,5,7,86.572,85.96000000000001,86.295,10.0,8.0,6.0,58,58,58,2.0,2.0,2.0,24.5255,22.6355,23.509500000000003,24.797,22.9,24.146,24.254,22.371,22.873,30.5,32.5,32.0
19,2008,2,2,Sepang International Circuit,Malaysia,18,31.88,29.8135,28.121,6,30.833333333333332,4.666666666666667,8.0,9.0,5.0,6.0,2.0,1.0,2,4,8,2,6,3,95.64500000000001,95.794,95.227,10.0,8.0,6.0,56,56,56,2.0,2.0,2.0,29.825,29.314,30.301499999999997,30.139,30.507,31.88,29.511,28.121,28.723,28.0,32.0,32.5
20,2008,3,3,Bahrain International Circuit,Bahrain,7,31.237,30.254333333333335,28.763,6,29.333333333333332,2.3333333333333335,13.0,8.0,9.0,6.0,6.0,2.0,2,4,1,2,4,1,91.937,92.652,92.893,10.0,8.0,6.0,57,57,57,2.0,2.0,2.0,30.442500000000003,30.597499999999997,29.723,30.536,31.237,30.683,30.349,29.958,28.763,30.0,29.0,29.0
21,2008,4,4,Circuit de Barcelona-Catalunya,Spain,109,27.999,27.144499999999997,26.241,6,33.333333333333336,3.0,8.0,13.0,1.0,6.0,6.0,1.0,1,3,5,1,3,5,80.701,81.52799999999999,81.366,10.0,8.0,6.0,66,66,66,2.0,2.0,2.0,27.5935,26.794,27.046,27.999,27.347,27.637,27.188,26.241,26.455,33.5,32.5,34.0
22,2008,5,5,Istanbul Park,Turkey,130,28.987,27.213428571428572,25.763,7,30.857142857142858,2.6666666666666665,13.0,1.0,8.0,6.0,1.0,6.0,1,3,4,1,3,4,85.994,86.19200000000001,86.457,10.0,8.0,6.0,58,58,58,2.0,3.0,2.0,27.884500000000003,26.252333333333336,27.984,28.413,26.794,28.987,27.356,25.763,26.981,29.5,31.0,32.0
23,2008,6,6,Circuit de Monaco,Monaco,7,29.823,27.712999999999997,26.375,6,38.0,3.0,1.0,9.0,13.0,1.0,2.0,6.0,3,5,1,3,5,1,75.582,75.977,75.19,10.0,8.0,6.0,76,76,76,2.0,2.0,2.0,27.7035,26.836,28.5995,29.031,27.297,29.823,26.376,26.375,27.376,30.0,39.5,44.5
24,2008,7,7,Circuit Gilles Villeneuve,Canada,13,35.071,32.00275,28.276,4,33.5,7.666666666666667,9.0,2.0,14.0,2.0,2.0,9.0,2,8,13,2,8,13,77.471,78.082,78.168,10.0,8.0,6.0,70,70,70,2.0,1.0,1.0,31.673499999999997,33.404,31.26,35.071,33.404,31.26,28.276,33.404,31.26,34.0,29.0,37.0
25,2008,8,8,Circuit de Nevers Magny-Cours,France,228,26.068,25.096,23.848,6,36.666666666666664,2.3333333333333335,13.0,8.0,15.0,6.0,6.0,7.0,2,1,4,2,1,5,75.024,75.133,75.521,10.0,8.0,6.0,70,70,70,2.0,2.0,2.0,25.0255,25.3945,24.868000000000002,26.068,25.714,25.888,23.983,25.075,23.848,38.5,36.5,35.0
26,2008,9,9,Silverstone Circuit,UK,153,47.461,29.332714285714285,25.638,7,32.0,8.333333333333334,1.0,2.0,22.0,1.0,2.0,11.0,4,5,16,4,5,16,80.288,81.02199999999999,81.512,10.0,8.0,6.0,60,60,60,2.0,2.0,3.0,25.989,26.1725,33.66866666666667,26.34,26.562,47.461,25.638,25.783,26.681,29.5,30.0,35.0
27,2008,10,10,Hockenheimring,Germany,103,28.375,25.649666666666665,22.952,3,41.0,6.666666666666667,1.0,12.0,13.0,1.0,4.0,6.0,1,17,2,1,17,2,75.218,76.189,74.92099999999999,10.0,8.0,6.0,67,67,67,1.0,1.0,1.0,22.952,28.375,25.622,22.952,28.375,25.622,22.952,28.375,25.622,50.0,35.0,38.0
28,2008,11,11,Hungaroring,Hungary,264,32.754,28.348,25.631,4,34.0,3.5,5.0,10.0,,1.0,7.0,,2,5,,2,5,,79.945,79.98,,10.0,8.0,,70,70,,2.0,2.0,,27.3125,29.383499999999998,,28.994,32.754,,25.631,26.013,,34.5,33.5,
29,2008,12,12,Valencia Street Circuit,Spain,4,22.778,22.00283333333333,20.675,6,27.666666666666668,2.0,13.0,1.0,9.0,6.0,1.0,2.0,1,2,3,1,2,3,98.176,98.464,98.34700000000001,10.0,8.0,6.0,57,57,57,2.0,2.0,2.0,22.477,21.6495,21.881999999999998,22.569,22.624,22.778,22.385,20.675,20.986,26.0,28.0,29.0
30,2008,13,13,Circuit de Spa-Francorchamps,Belgium,401,28.952,27.789142857142856,26.115,7,23.428571428571427,2.6666666666666665,13.0,2.0,1.0,6.0,2.0,1.0,2,5,1,2,5,1,106.87299999999999,107.419,106.887,10.0,8.0,6.0,44,44,44,2.0,3.0,2.0,28.264000000000003,27.259,28.109499999999997,28.335,28.952,28.807,28.193,26.115,27.412,20.5,29.0,18.0
31,2008,14,14,Autodromo Nazionale di Monza,Italy,162,31.709,30.440999999999995,29.189,5,28.8,4.666666666666667,20.0,5.0,9.0,5.0,1.0,2.0,1,2,11,1,2,11,95.464,95.214,95.553,10.0,8.0,6.0,53,53,53,2.0,2.0,1.0,30.0155,30.764499999999998,30.645,30.842,31.709,30.645,29.189,29.82,30.645,27.0,28.0,34.0
32,2008,15,15,Marina Bay Street Circuit,Singapore,18,32.638,28.020857142857146,25.945,7,27.857142857142858,8.333333333333334,4.0,3.0,1.0,4.0,3.0,1.0,15,8,2,15,9,2,104.971,105.10300000000001,104.501,10.0,8.0,6.0,61,61,61,2.0,3.0,2.0,27.153,27.752333333333336,29.2915,28.146,28.951,32.638,26.16,27.09,25.945,26.5,27.666666666666668,29.5
33,2008,16,16,Fuji Speedway,Japan,583,36.543,34.43183333333334,33.286,6,31.5,4.0,4.0,9.0,8.0,4.0,2.0,6.0,4,6,2,4,6,2,78.28999999999999,78.684,78.16,10.0,8.0,6.0,67,67,67,2.0,2.0,2.0,33.968,34.3665,34.961,34.034,35.447,36.543,33.902,33.286,33.379,30.5,31.5,32.5
34,2008,17,17,Shanghai International Circuit,China,5,29.272,28.3095,26.462,6,26.166666666666668,2.0,1.0,13.0,8.0,1.0,6.0,6.0,1,3,2,1,3,2,95.566,95.971,95.983,10.0,8.0,6.0,56,56,56,2.0,2.0,2.0,27.8265,28.506,28.596,29.191,29.272,29.027,26.462,27.74,28.165,26.5,25.5,26.5
35,2008,18,18,Autódromo José Carlos Pace,Brazil,785,30.501,28.268222222222224,26.498,9,38.888888888888886,3.3333333333333335,13.0,4.0,8.0,6.0,4.0,6.0,1,6,3,1,6,3,71.83,72.214,72.083,10.0,8.0,6.0,71,71,71,3.0,3.0,3.0,28.46366666666667,28.072999999999997,28.268,30.501,29.889,29.436,27.234,26.672,26.498,38.333333333333336,38.333333333333336,40.0
36,2007,1,1,Albert Park Grand Prix Circuit,Australia,10,24.905,23.481333333333335,21.509,6,32.333333333333336,2.3333333333333335,8.0,4.0,1.0,6.0,1.0,1.0,1,2,4,1,2,4,86.644,86.697,86.674,10.0,8.0,6.0,58,58,58,2.0,2.0,2.0,23.795,22.9605,23.688499999999998,24.905,24.412,24.025,22.685,21.509,23.352,30.5,33.5,33.0
37,2007,2,2,Sepang International Circuit,Malaysia,18,31.472,29.521333333333335,28.169,6,29.166666666666668,3.0,4.0,1.0,8.0,1.0,1.0,6.0,2,4,3,2,4,3,94.94200000000001,95.02799999999999,95.138,10.0,8.0,6.0,56,56,56,2.0,2.0,2.0,29.715,29.0285,29.820500000000003,30.566,29.073,31.472,28.864,28.984,28.169,29.0,29.0,29.5
38,2007,3,3,Bahrain International Circuit,Bahrain,7,31.744,29.992166666666666,28.717,6,31.333333333333332,2.0,13.0,1.0,8.0,6.0,1.0,6.0,1,2,3,1,2,3,92.443,92.58,93.161,10.0,8.0,6.0,57,57,57,2.0,2.0,2.0,30.125,30.2305,29.621,30.216,31.744,30.141,30.034,28.717,29.101,30.5,31.5,32.0
39,2007,4,4,Circuit de Barcelona-Catalunya,Spain,109,29.103,27.3085,25.655,6,32.833333333333336,2.3333333333333335,13.0,1.0,4.0,6.0,1.0,1.0,1,4,2,1,4,2,81.375,81.12,81.60900000000001,10.0,8.0,6.0,65,65,65,2.0,2.0,2.0,27.863999999999997,26.593,27.4685,28.325,27.531,29.103,27.403,25.655,25.834,30.5,34.5,33.5
40,2007,5,6,Circuit de Monaco,Monaco,7,28.15,25.366,23.297,6,40.0,2.0,4.0,1.0,13.0,1.0,1.0,6.0,1,2,3,1,2,3,76.059,75.685,76.786,10.0,8.0,6.0,78,78,78,2.0,2.0,2.0,24.774,24.313000000000002,27.011,24.861,25.329,28.15,24.687,23.297,25.872,38.5,41.0,40.5
41,2007,6,7,Circuit Gilles Villeneuve,Canada,13,32.921,29.245799999999996,26.474,5,33.4,7.666666666666667,1.0,2.0,25.0,1.0,2.0,3.0,1,3,19,1,3,19,76.576,77.006,78.089,10.0,8.0,6.0,70,70,70,2.0,2.0,1.0,28.058,28.596,32.921,29.642,28.901,32.921,26.474,28.291,32.921,35.0,33.5,30.0
42,2007,7,19,Indianapolis Motor Speedway,USA,223,27.884,26.232166666666668,24.986,6,36.166666666666664,2.0,1.0,4.0,13.0,1.0,1.0,6.0,1,2,3,1,2,3,72.563,72.416,72.731,10.0,8.0,6.0,73,73,73,2.0,2.0,2.0,26.277,25.6645,26.755000000000003,27.21,26.343,27.884,25.344,24.986,25.626,36.0,36.0,36.5
43,2007,8,8,Circuit de Nevers Magny-Cours,France,228,25.412,24.04842857142857,22.788,7,33.42857142857143,2.0,8.0,13.0,1.0,6.0,6.0,1.0,3,1,2,3,1,2,74.872,75.303,74.805,10.0,8.0,6.0,70,70,70,2.0,2.0,3.0,24.2265,25.158,23.189999999999998,24.308,25.412,23.96,24.145,24.904,22.788,34.0,31.0,34.666666666666664
44,2007,9,9,Silverstone Circuit,UK,153,26.975,25.4785,24.065,6,28.666666666666668,2.0,8.0,4.0,1.0,6.0,1.0,1.0,2,3,1,2,3,1,79.753,79.33,79.885,10.0,8.0,6.0,59,59,59,2.0,2.0,2.0,25.578000000000003,24.994,25.863500000000002,26.975,25.923,26.17,24.181,24.065,25.557,30.5,28.5,27.0
45,2007,10,20,Nürburgring,Germany,578,30.701,27.5865,25.652,12,26.166666666666668,3.6666666666666665,4.0,13.0,17.0,1.0,6.0,9.0,2,3,6,2,3,6,91.074,91.447,92.62899999999999,10.0,8.0,6.0,60,60,60,4.0,4.0,4.0,27.8565,27.81125,27.091749999999998,30.431,30.701,28.644,25.997,25.652,25.816,25.75,26.0,26.75
46,2007,11,11,Hungaroring,Hungary,264,25.951,23.862142857142857,22.023,7,35.142857142857146,2.0,1.0,8.0,2.0,1.0,6.0,2.0,1,3,2,2,4,3,79.57,80.435,80.751,10.0,8.0,6.0,70,70,70,2.0,2.0,3.0,25.015,24.5065,22.663999999999998,25.951,24.833,23.787,24.079,24.18,22.023,34.5,32.5,37.333333333333336
47,2007,12,5,Istanbul Park,Turkey,130,29.495,28.115333333333336,26.802,6,30.166666666666668,2.6666666666666665,13.0,8.0,4.0,6.0,6.0,1.0,1,3,4,1,3,4,87.488,87.294,87.328,10.0,8.0,6.0,58,58,58,2.0,2.0,2.0,28.157,28.0405,28.1485,29.15,29.075,29.495,27.164,27.006,26.802,30.5,29.5,30.5
48,2007,13,14,Autodromo Nazionale di Monza,Italy,162,32.678,29.6048,27.245,5,29.2,2.6666666666666665,4.0,1.0,8.0,1.0,1.0,6.0,1,2,5,1,2,5,81.718,81.956,82.673,10.0,8.0,6.0,53,53,53,2.0,2.0,1.0,29.025,28.648,32.678,30.805,29.868,32.678,27.245,27.428,32.678,31.5,29.0,25.0
