raceId,max_pit_duration,mean_pit_duration,min_pit_duration,total_pit_stops,year,round,circuitId,race_name,date,circuit_name,country,alt,lat,lng,avg_stop_lap,num_stops,avg_grid_top3,total_pit_stops_winner
841,25.683,23.8805,22.603,6,2011,1,1,Australian Grand Prix,2011-03-27,Albert Park Grand Prix Circuit,Australia,10,-37.8497,144.968,25.666666666666668,6,3.0,2.0
842,23.9,22.700222222222223,21.893,9,2011,2,2,Malaysian Grand Prix,2011-04-10,Sepang International Circuit,Malaysia,18,2.76083,101.738,25.666666666666668,9,3.6666666666666665,3.0
843,23.442,21.396375,20.533,8,2011,3,17,Chinese Grand Prix,2011-04-17,Shanghai International Circuit,China,5,31.3389,121.22,24.75,8,7.333333333333333,2.0
844,22.087,21.010916666666667,20.112,12,2011,4,5,Turkish Grand Prix,2011-05-08,Istanbul Park,Turkey,130,40.9517,29.405,29.08333333333333,12,2.6666666666666665,4.0
845,20.988,20.29090909090909,19.761,11,2011,5,4,Spanish Grand Prix,2011-05-22,Circuit de Barcelona-Catalunya,Spain,109,41.57,2.26111,29.0,11,3.333333333333333,4.0
846,31.382,26.94016666666667,24.67,6,2011,6,6,Monaco Grand Prix,2011-05-29,Circuit de Monaco,Monaco,7,43.7347,7.42056,27.166666666666668,6,2.333333333333333,1.0
847,31.718,23.761750000000003,14.501,12,2011,7,7,Canadian Grand Prix,2011-06-12,Circuit Gilles Villeneuve,Canada,13,45.5,-73.5228,31.58333333333333,12,4.0,3.0
848,21.477,20.56588888888889,20.136,9,2011,8,12,European Grand Prix,2011-06-26,Valencia Street Circuit,Spain,4,39.4589,-0.331667,29.11111111111111,9,2.333333333333333,3.0
849,31.558,25.197222222222223,23.137,9,2011,9,9,British Grand Prix,2011-07-10,Silverstone Circuit,UK,153,52.0786,-1.01694,25.55555555555556,9,2.0,3.0
850,21.299,20.487111111111112,19.975,9,2011,10,20,German Grand Prix,2011-07-24,Nürburgring,Germany,578,50.3356,6.9475,33.22222222222222,9,2.333333333333333,3.0
851,23.208,21.0018,19.664,10,2011,11,11,Hungarian Grand Prix,2011-07-31,Hungaroring,Hungary,264,47.5789,19.2486,28.1,10,3.0,3.0
852,26.046,21.812375,20.786,8,2011,12,13,Belgian Grand Prix,2011-08-28,Circuit de Spa-Francorchamps,Belgium,401,50.4372,5.97139,16.25,8,5.666666666666667,3.0
853,22.539,21.964166666666667,21.378,6,2011,13,14,Italian Grand Prix,2011-09-11,Autodromo Nazionale di Monza,Italy,162,45.6156,9.28111,26.33333333333333,6,2.6666666666666665,2.0
854,31.204,30.455777777777776,29.921,9,2011,14,15,Singapore Grand Prix,2011-09-25,Marina Bay Street Circuit,Singapore,18,1.2914,103.864,30.33333333333333,9,2.0,3.0
855,22.374,21.297444444444444,20.713,9,2011,15,22,Japanese Grand Prix,2011-10-09,Suzuka Circuit,Japan,45,34.8431,136.541,21.666666666666668,9,2.6666666666666665,3.0
856,20.846,20.5355,19.985,6,2011,16,35,Korean Grand Prix,2011-10-16,Korean International Circuit,Korea,0,34.7333,126.417,24.166666666666668,6,2.333333333333333,2.0
857,21.873,21.57033333333333,21.092,6,2011,17,68,Indian Grand Prix,2011-10-30,Buddh International Circuit,India,194,28.3487,77.5331,30.83333333333333,6,2.6666666666666665,2.0
859,22.094,21.202777777777776,20.652,9,2011,19,18,Brazilian Grand Prix,2011-11-27,Autódromo José Carlos Pace,Brazil,785,-23.7036,-46.6997,36.333333333333336,9,2.0,3.0
860,24.256,23.47083333333333,22.837,6,2012,1,1,Australian Grand Prix,2012-03-18,Albert Park Grand Prix Circuit,Australia,10,-37.8497,144.968,26.33333333333333,6,3.0,2.0
861,27.961,24.81722222222222,22.534,9,2012,2,2,Malaysian Grand Prix,2012-03-25,Sepang International Circuit,Malaysia,18,2.76083,101.738,19.444444444444443,9,6.0,3.0
862,26.618,21.398,20.177,8,2012,3,17,Chinese Grand Prix,2012-04-15,Shanghai International Circuit,China,5,31.3389,121.22,23.875,8,4.333333333333333,3.0
863,23.246,22.534444444444446,21.8,9,2012,4,3,Bahrain Grand Prix,2012-04-22,Bahrain International Circuit,Bahrain,7,26.0325,50.5106,24.88888888888889,9,6.333333333333333,3.0
864,22.829,20.48966666666667,19.456,9,2012,5,4,Spanish Grand Prix,2012-05-13,Circuit de Barcelona-Catalunya,Spain,109,41.57,2.26111,26.88888888888889,9,2.333333333333333,4.0
865,25.566,25.22,24.874,3,2012,6,6,Monaco Grand Prix,2012-05-27,Circuit de Monaco,Monaco,7,43.7347,7.42056,28.666666666666668,3,2.6666666666666665,1.0
866,22.53,21.7855,21.375,4,2012,7,7,Canadian Grand Prix,2012-06-10,Circuit Gilles Villeneuve,Canada,13,45.5,-73.5228,32.25,4,8.0,2.0
867,21.879,20.66783333333333,19.789,6,2012,8,12,European Grand Prix,2012-06-24,Valencia Street Circuit,Spain,4,39.4589,-0.331667,24.166666666666668,6,9.333333333333334,2.0
868,25.854,25.425166666666662,24.998,6,2012,9,9,British Grand Prix,2012-07-08,Silverstone Circuit,UK,153,52.0786,-1.01694,23.33333333333333,6,2.333333333333333,2.0
869,18.002,17.657833333333333,16.831,6,2012,10,10,German Grand Prix,2012-07-22,Hockenheimring,Germany,103,49.3278,8.56583,27.83333333333333,6,5.666666666666667,2.0
